curr_state	curr_action	next_reward	next_state
67	-1	0.0	74
74	1	0.0	83
83	0	0.0	91
91	0	0.0	99
99	0	0.0	107
107	1	0.0	116
116	-1	0.0	115
115	1	0.0	124
124	-1	0.0	123
123	-1	0.0	122
122	0	0.0	122
122	1	0.0	123
123	1	0.0	124
124	1	0.0	125
125	1	0.0	118
118	1	0.0	111
111	0	0.0	231
231	-1	0.0	350
350	1	0.0	343
343	0	0.0	463
463	0	0.0	583
583	0	0.0	703
703	-1	0.0	822
822	1	0.0	815
815	1	0.0	928
928	0	0.0	1056
1056	0	0.0	1184
1184	1	0.0	1313
1313	0	0.0	1449
1449	0	0.0	1585
1585	0	0.0	1721
1721	-1	0.0	1856
